UID,FIPS
84022117,22117
84022119,22119
84022121,22121
84022123,22123
84022125,22125
84022127,22127
84023001,23001
84023003,23003
84023005,23005
84023007,23007
84023009,23009
84023011,23011
84023013,23013
84023015,23015
84023017,23017
84023019,23019
84023021,23021
84023023,23023
84023025,23025
84023027,23027
84023029,23029
84023031,23031
84024001,24001
84024003,24003
84024005,24005
84024009,24009
84024011,24011
84024013,24013
84024015,24015
84024017,24017
84024019,24019
84024021,24021
84024023,24023
84024025,24025
84024027,24027
84024029,24029
84024031,24031
84024033,24033
84024035,24035
84024037,24037
84024039,24039
84024041,24041
84024043,24043
84024045,24045
84024047,24047
84024510,24510
84025001,25001
84025003,25003
84025005,25005
84025007,25007
84025009,25009
84025011,25011
84025013,25013
84025015,25015
84025017,25017
84025019,25019
84025021,25021
84025023,25023
84025025,25025
84025027,25027
84026001,26001
84026003,26003
84026005,26005
84026007,26007
84026009,26009
84026011,26011
84026013,26013
84026015,26015
84026017,26017
84026019,26019
84026021,26021
84026023,26023
84026025,26025
84026027,26027
84026029,26029
84026031,26031
84026033,26033
84026035,26035
84026037,26037
84026039,26039
84026041,26041
84026043,26043
84026045,26045
84026047,26047
84026049,26049
84026051,26051
84026053,26053
84026055,26055
84026057,26057
84026059,26059
84026061,26061
84026063,26063
84026065,26065
84026067,26067
84026069,26069
84026071,26071
84026073,26073
84026075,26075
84026077,26077
84026079,26079
84026081,26081
84026083,26083
84026085,26085
84026087,26087
84026089,26089
84026091,26091
84026093,26093
84026095,26095
84026097,26097
84026099,26099
84026101,26101
84026103,26103
84026105,26105
84026107,26107
84026109,26109
84026111,26111
84026113,26113
84026115,26115
84026117,26117
84026119,26119
84026121,26121
84026123,26123
84026125,26125
84026127,26127
84026129,26129
84026131,26131
84026133,26133
84026135,26135
84026137,26137
84026139,26139
84026141,26141
84026143,26143
84026145,26145
84026147,26147
84026149,26149
84026151,26151
84026153,26153
84026155,26155
84026157,26157
84026159,26159
84026161,26161
84026163,26163
84026165,26165
84027001,27001
84027003,27003
84027005,27005
84027007,27007
84027009,27009
84027011,27011
84027013,27013
84027015,27015
84027017,27017
84027019,27019
84027021,27021
84027023,27023
84027025,27025
84027027,27027
84027029,27029
84027031,27031
84027033,27033
84027035,27035
84027037,27037
84027039,27039
84027041,27041
84027043,27043
84027045,27045
84027047,27047
84027049,27049
84027051,27051
84027053,27053
84027055,27055
84027057,27057
84027059,27059
84027061,27061
84027063,27063
84027065,27065
84027067,27067
84027069,27069
84027071,27071
84027073,27073
84027075,27075
84027077,27077
84027079,27079
84027081,27081
84027083,27083
84027085,27085
84027087,27087
84027089,27089
84027091,27091
84027093,27093
84027095,27095
84027097,27097
84027099,27099
84027101,27101
84027103,27103
84027105,27105
84027107,27107
84027109,27109
84027111,27111
84027113,27113
84027115,27115
84027117,27117
84027119,27119
84027121,27121
84027123,27123
84027125,27125
84027127,27127
84027129,27129
84027131,27131
84027133,27133
84027135,27135
84027137,27137
84027139,27139
84027141,27141
84027143,27143
84027145,27145
84027147,27147
84027149,27149
84027151,27151
84027153,27153
84027155,27155
84027157,27157
84027159,27159
84027161,27161
84027163,27163
84027165,27165
84027167,27167
84027169,27169
84027171,27171
84027173,27173
84028001,28001
84028003,28003
84028005,28005
84028007,28007
84028009,28009
84028011,28011
84028013,28013
84028015,28015
84028017,28017
84028019,28019
84028021,28021
84028023,28023
84028025,28025
84028027,28027
84028029,28029
84028031,28031
84028033,28033
84028035,28035
84028037,28037
84028039,28039
84028041,28041
84028043,28043
84028045,28045
84028047,28047
84028049,28049
84028051,28051
84028053,28053
84028055,28055
84028057,28057
84028059,28059
84028061,28061
84028063,28063
84028065,28065
84028067,28067
84028069,28069
84028071,28071
84028073,28073
84028075,28075
84028077,28077
84028079,28079
84028081,28081
84028083,28083
84028085,28085
84028087,28087
84028089,28089
84028091,28091
84028093,28093
84028095,28095
84028097,28097
84028099,28099
84028101,28101
84028103,28103
84028105,28105
84028107,28107
84028109,28109
84028111,28111
84028113,28113
84028115,28115
84028117,28117
84028119,28119
84028121,28121
84028123,28123
84028125,28125
84028127,28127
84028129,28129
84028131,28131
84028133,28133
84028135,28135
84028137,28137
84028139,28139
84028141,28141
84028143,28143
84028145,28145
84028147,28147
84028149,28149
84028151,28151
84028153,28153
84028155,28155
84028157,28157
84028159,28159
84028161,28161
84028163,28163
84029001,29001
84029003,29003
84029005,29005
84029007,29007
84029009,29009
84029011,29011
84029013,29013
84029015,29015
84029017,29017
84029019,29019
84029021,29021
84029023,29023
84029025,29025
84029027,29027
84029029,29029
84029031,29031
84029033,29033
84029035,29035
84029037,29037
84029039,29039
84029041,29041
84029043,29043
84029045,29045
84029047,29047
84029049,29049
84029051,29051
84029053,29053
84029055,29055
84029057,29057
84029059,29059
84029061,29061
84029063,29063
84029065,29065
84029067,29067
84029069,29069
84029071,29071
84029073,29073
84029075,29075
84029077,29077
84029079,29079
84029081,29081
84029083,29083
84029085,29085
84029087,29087
84029089,29089
84029091,29091
84029093,29093
84029095,29095
84029097,29097
84029099,29099
84029101,29101
84029103,29103
84029105,29105
84029107,29107
84029109,29109
84029111,29111
84029113,29113
84029115,29115
84029117,29117
84029119,29119
84029121,29121
84029123,29123
84029125,29125
84029127,29127
84029129,29129
84029131,29131
84029133,29133
84029135,29135
84029137,29137
84029139,29139
84029141,29141
84029143,29143
84029145,29145
84029147,29147
84029149,29149
84029151,29151
84029153,29153
84029155,29155
84029157,29157
84029159,29159
84029161,29161
84029163,29163
84029165,29165
84029167,29167
84029169,29169
84029171,29171
84029173,29173
84029175,29175
84029177,29177
84029179,29179
84029181,29181
84029183,29183
84029185,29185
84029186,29186
84029187,29187
84029189,29189
84029195,29195
84029197,29197
84029199,29199
84029201,29201
84029203,29203
84029205,29205
84029207,29207
84029209,29209
84029211,29211
84029213,29213
84029215,29215
84029217,29217
84029219,29219
84029221,29221
84029223,29223
84029225,29225
84029227,29227
84029229,29229
84029510,29510
84030001,30001
84030003,30003
84030005,30005
84030007,30007
84030009,30009
84030011,30011
84030013,30013
84030015,30015
84030017,30017
84030019,30019
84030021,30021
84030023,30023
84030025,30025
84030027,30027
84030029,30029
84030031,30031
84030033,30033
84030035,30035
84030037,30037
84030039,30039
84030041,30041
84030043,30043
84030045,30045
84030047,30047
84030049,30049
84030051,30051
84030053,30053
84030055,30055
84030057,30057
84030059,30059
84030061,30061
84030063,30063
84030065,30065
84030067,30067
84030069,30069
84030071,30071
84030073,30073
84030075,30075
84030077,30077
84030079,30079
84030081,30081
84030083,30083
84030085,30085
84030087,30087
84030089,30089
84030091,30091
